Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page
Into the Wild,Emile Hirsch,Marcia Gay Harden,William Hurt
Rounders,Matt Damon,Edward Norton,Paul Cicero
V for Vendetta,Natalie Portman,Hugo Weaving,Stephen Rea
Memento,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen
Donnie Darko,Jake Gyllenhaal,Holmes Osborne,Maggie Gyllenhaal
Good Will Hunting,Matt Damon,Robin Williams,Ben Affleck
The Hangover,Bradley Cooper,Ed Helms,Zach Galifianakis
Gran Torino,Clint Eastwood,Christopher Carley,Bee Vang
The Butterfly Effect,Ashton Kutcher,Melora Walters,Amy Smart
Sin City,Jessica Alba,Devon Aoki,Alexis Bledel
Snatch,Benicio Del Toro,Brad Pitt,Crime
Robin Hood,Russell Crowe,Cate Blanchett,Matthew Macfadyen
Beautiful Mind,Russell Crowe,Ed Harris,Jennifer Connelly
Juno,Ellen Page,Michael Cera,Jennifer Garner
Cinderella Man,Russell Crowe,Renee Zellweger,Paul Giamatti
Meet Joe Black,Brad Pitt,Anthony Hopkins,Claire Forlani
Planet Terror,Rose McGowan,Freddy Rodriguez,Josh Brolin
Rocky,Sylvester Stallone,Talia Shire,Burt Young
Rocky II,Sylvester Stallone,Talia Shire,Burt Young
Rocky III,Sylvester Stallone,Talia Shire,Burt Young
Warrior,Tom Hardy,Nick Nolte,Joel Edgerton
500 Days of Summer,Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend
Sherlock Holmes,Robert Downey Jr.,Jude Law,Rachel McAdams
Pulp Fiction,John Travolta,Samuel L. Jackson,Tim Roth
Inglourious Basterds,Brad Pitt,Melanie Laurent,Christoph Waltz
